Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand,Model,Age
Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3800.0,Hyundai,i20,13
Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,4650.0,Hyundai,i20,10
Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,3950.0,Datsun,GO,7
Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,9800.0,Audi,A4,14
Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2700.0,Hyundai,i20,15
Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,2410.0,Maruti,Omni,14
Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,3900.0,Toyota,Etios,10
Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,24000.0,Jaguar,XF,13
Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5750.0,Mahindra,XUV500,12
Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5250.0,Hyundai,Verna,10
Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19250.0,Toyota,Innova,7
Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,3910.0,Maruti,Eeco,7
Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,2150.0,Tata,Nano,10
Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20750.0,BMW,3,9
Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3350.0,Honda,Civic,14
Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11110.0,Toyota,Innova,10
Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,20000.0,Volvo,V40,10
Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6550.0,Nissan,Micra,8
Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,7000.0,BMW,5,15
Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7500.0,Maruti,Vitara,8
Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086.0,97.7,5.0,850.0,Hyundai,Santro,19
Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,16750.0,Mercedes-Benz,B,10
Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10950.0,Hyundai,Verna,6
Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,2450.0,Maruti,Wagon,13
Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3230.0,Tata,Nano,7
Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,7750.0,Mahindra,Scorpio,10
Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,9350.0,Mercedes-Benz,New,15
Pune,2013,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,3250.0,Maruti,Wagon,11
Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,5250.0,Honda,CR-V,17
Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7250.0,Volkswagen,Vento,9
Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7470.0,Maruti,Ciaz,7
Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13250.0,Mahindra,XUV500,8
Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,5810.0,Maruti,Ritz,8
Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,2600.0,Maruti,Alto,10
Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,54000.0,Mercedes-Benz,SLC,7
Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,11500.0,Hyundai,Verna,5
Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1600.0,Maruti,Alto,14
Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,17220.0,BMW,1,9
Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6000.0,Honda,Jazz,9
Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3950.0,Honda,Civic,12
Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,17950.0,Mercedes-Benz,New,10
Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3700.0,Honda,Amaze,10
Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5430.0,Maruti,Swift,8
Kochi,2008,80759,Petrol,Manual,Third,17.0,1086.0,97.7,5.0,1670.0,Hyundai,Santro,16
Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13490.0,Toyota,Fortuner,12
Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,2850.0,Chevrolet,Beat,10
Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,4750.0,Skoda,Rapid,11
Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9900.0,Maruti,Ciaz,6
Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,37000.0,Audi,RS5,11
Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,26500.0,BMW,3,10
Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,23320.0,Audi,A4,9
Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6250.0,Maruti,Swift,8
Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,30000.0,Mercedes-Benz,S,14
Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,9860.0,Skoda,Rapid,8
Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,8500.0,Skoda,Superb,12
Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,4230.0,Hyundai,EON,5
Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3500.0,Volkswagen,Polo,12
Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,2500.0,Datsun,GO,8
Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,2390.0,Honda,Brio,11
Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11250.0,Mercedes-Benz,B,11
Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7110.0,Honda,City,9
Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10900.0,Toyota,Innova,8
Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,6200.0,Maruti,Swift,7
Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7900.0,Mahindra,XUV500,12
Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,4420.0,Ford,Ecosport,10
Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13500.0,Toyota,Fortuner,12
Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,6250.0,Volkswagen,Vento,11
Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2100.0,Ford,Figo,14
Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,45000.0,BMW,X5,9
Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,33660.0,Mercedes-Benz,New,7
Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,3650.0,Honda,Brio,12
Delhi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2750.0,Hyundai,i10,11
Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,42500.0,Mercedes-Benz,GLC,8
Kolkata,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6500.0,Hyundai,Grand,5
Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,19000.0,Audi,A6,12
Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,4450.0,Volkswagen,Vento,11
Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,23000.0,Mini,Countryman,7
Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8350.0,Hyundai,i20,10
Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,22950.0,Audi,A6,10
Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,1500.0,Chevrolet,Beat,12
Kochi,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,6890.0,Skoda,Superb,12
Chennai,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,1450.0,Ford,Fiesta,18
Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,33500.0,BMW,5,10
Jaipur,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,1250.0,Chevrolet,Optra,17
Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4200.0,Volkswagen,Polo,12
Mumbai,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,6750.0,Renault,Lodgy,9
Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,32000.0,Mercedes-Benz,E-Class,10
Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,7500.0,Maruti,Baleno,7
Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4600.0,Hyundai,Verna,12
Kochi,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4040.0,Hyundai,i10,7
Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,10310.0,Mahindra,Scorpio,8
Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,55760.0,Land,Rover,6
Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2600.0,Ford,Figo,14
Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,8500.0,Maruti,Ertiga,8
Ahmedabad,2007,60006,Petrol,Manual,First,0.0,1493.0,97.7,5.0,2950.0,Honda,City,17
Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3500.0,Honda,Amaze,10
Jaipur,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3550.0,Hyundai,i10,9
Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3250.0,Honda,Amaze,11
Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,4500.0,Skoda,Laura,16
Delhi,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5350.0,Renault,Duster,10
Chennai,2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,6500.0,Mahindra,NuvoSport,7
Mumbai,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9000.0,Maruti,Vitara,8
Kochi,2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6000.0,Hyundai,i20,8
Jaipur,2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,2750.0,Skoda,Fabia,15
Pune,2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,1500.0,Tata,Indigo,14
Delhi,2015,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,19900.0,Audi,Q3,9
Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,10000.0,Skoda,Octavia,10
Delhi,2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,3000.0,Toyota,Etios,10
Kolkata,2010,42001,Petrol,Manual,First,16.1,1493.0,97.7,5.0,2110.0,Maruti,Swift,14
Kochi,2014,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11960.0,Mercedes-Benz,B,10
Kolkata,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,3250.0,Honda,Amaze,11
Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,4750.0,Hyundai,Verna,12
Mumbai,2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5950.0,Renault,Duster,10
Delhi,2015,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,8150.0,Hyundai,Creta,9
Mumbai,2016,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,4220.0,Maruti,Wagon,8
Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,10500.0,Mercedes-Benz,New,14
Delhi,2012,56000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,45000.0,Audi,A8,12
Pune,2012,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2900.0,Hyundai,i10,12
Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,8900.0,Skoda,Rapid,7
Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,26000.0,Skoda,Superb,7
Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,8220.0,Hyundai,i20,6
Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,3500.0,Honda,Amaze,10
Chennai,2004,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1250.0,Maruti,Wagon,20
Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,3700.0,Mahindra,Verito,11
Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39410.0,Mercedes-Benz,New,6
Kolkata,2013,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,2650.0,Maruti,Wagon,11
Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,8920.0,Nissan,Terrano,9
Delhi,2013,47000,Diesel,Manual,First,17.8,1248.0,97.7,5.0,4100.0,Maruti,Swift,11
Kochi,2017,26327,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,35670.0,Mini,Cooper,7
Bangalore,2015,70436,Diesel,Manual,First,0.0,1498.0,99.0,5.0,3600.0,Ford,Figo,9
Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,850.0,Tata,Indica,17
Kochi,2016,60813,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,3320.0,Chevrolet,Beat,8
Mumbai,2012,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3600.0,Volkswagen,Polo,12
Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6800.0,Maruti,Swift,8
Kolkata,2012,41284,Diesel,Manual,First,20.0,1399.0,68.05,5.0,2500.0,Ford,Figo,12
Kochi,2019,14165,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19640.0,Toyota,Innova,5
Mumbai,2011,67000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,7000.0,Hyundai,Santa,13
Kolkata,2011,32572,Petrol,Manual,First,17.4,1497.0,117.3,5.0,3870.0,Honda,City,13
Kochi,2018,14960,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6270.0,Hyundai,i20,6
Kochi,2015,55980,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,18120.0,Mercedes-Benz,New,9
Mumbai,2013,74000,Diesel,Manual,First,25.44,936.0,57.6,5.0,2650.0,Chevrolet,Beat,11
Kochi,2015,56847,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7200.0,Hyundai,i20,9
Coimbatore,2015,121374,Diesel,Manual,First,12.99,2494.0,100.6,7.0,14300.0,Toyota,Innova,9
Chennai,2013,52000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6900.0,Maruti,Ertiga,11
Mumbai,2014,118000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,10750.0,Toyota,Innova,10
